2025-11-08 10:45:25,700 - INFO - 使用设备: cpu
2025-11-08 10:45:25,701 - INFO - 实验配置: d_model=128, batch_size=32, epochs=5, block_size=64, seed=42, ablate_pe=False, ablate_multihead=True
2025-11-08 10:45:25,701 - INFO - 加载数据集...
2025-11-08 10:45:25,828 - INFO - 训练批次: 1,042, 验证批次: 121, 词汇表大小: 65
2025-11-08 10:45:25,828 - INFO - 初始化模型...
2025-11-08 10:45:25,842 - INFO - 
============================================================
2025-11-08 10:45:25,842 - INFO - Epoch 1/5
2025-11-08 10:45:25,842 - INFO - ============================================================
2025-11-08 10:45:25,843 - INFO - Epoch 1/5: 开始训练 (1,042 批次)
2025-11-08 10:45:26,619 - INFO - 进度:   1.0% | 批次: 10/1,042 | 损失: 4.4110 | LR: 2.96e-09 | 速度: 0.077s/batch | ETA: 1.3min
2025-11-08 10:45:40,219 - INFO - 进度:  11.5% | 批次: 120/1,042 | 损失: 4.4088 | LR: 3.56e-08 | 速度: 0.093s/batch | ETA: 1.8min
2025-11-08 10:45:41,246 - INFO - 进度:  12.5% | 批次: 130/1,042 | 损失: 4.4094 | LR: 3.85e-08 | 速度: 0.102s/batch | ETA: 1.8min
2025-11-08 10:45:42,179 - INFO - 进度:  13.4% | 批次: 140/1,042 | 损失: 4.4085 | LR: 4.15e-08 | 速度: 0.093s/batch | ETA: 1.8min
2025-11-08 10:45:43,176 - INFO - 进度:  14.4% | 批次: 150/1,042 | 损失: 4.4081 | LR: 4.45e-08 | 速度: 0.099s/batch | ETA: 1.7min
2025-11-08 10:45:44,117 - INFO - 进度:  15.4% | 批次: 160/1,042 | 损失: 4.4078 | LR: 4.74e-08 | 速度: 0.094s/batch | ETA: 1.7min
2025-11-08 10:45:45,080 - INFO - 进度:  16.3% | 批次: 170/1,042 | 损失: 4.4079 | LR: 5.04e-08 | 速度: 0.096s/batch | ETA: 1.6min
2025-11-08 10:45:46,014 - INFO - 进度:  17.3% | 批次: 180/1,042 | 损失: 4.4076 | LR: 5.34e-08 | 速度: 0.093s/batch | ETA: 1.6min
2025-11-08 10:45:46,929 - INFO - 进度:  18.2% | 批次: 190/1,042 | 损失: 4.4074 | LR: 5.63e-08 | 速度: 0.091s/batch | ETA: 1.6min
2025-11-08 10:45:47,826 - INFO - 进度:  19.2% | 批次: 200/1,042 | 损失: 4.4074 | LR: 5.93e-08 | 速度: 0.089s/batch | ETA: 1.5min
2025-11-08 10:45:48,748 - INFO - 进度:  20.2% | 批次: 210/1,042 | 损失: 4.4073 | LR: 6.23e-08 | 速度: 0.092s/batch | ETA: 1.5min
2025-11-08 10:45:49,713 - INFO - 进度:  21.1% | 批次: 220/1,042 | 损失: 4.4071 | LR: 6.52e-08 | 速度: 0.096s/batch | ETA: 1.5min
2025-11-08 10:45:50,675 - INFO - 进度:  22.1% | 批次: 230/1,042 | 损失: 4.4067 | LR: 6.82e-08 | 速度: 0.096s/batch | ETA: 1.5min
2025-11-08 10:45:51,673 - INFO - 进度:  23.0% | 批次: 240/1,042 | 损失: 4.4064 | LR: 7.12e-08 | 速度: 0.100s/batch | ETA: 1.4min
2025-11-08 10:45:52,761 - INFO - 进度:  24.0% | 批次: 250/1,042 | 损失: 4.4062 | LR: 7.41e-08 | 速度: 0.108s/batch | ETA: 1.4min
2025-11-08 10:45:53,969 - INFO - 进度:  25.0% | 批次: 260/1,042 | 损失: 4.4060 | LR: 7.71e-08 | 速度: 0.120s/batch | ETA: 1.4min
2025-11-08 10:45:55,025 - INFO - 进度:  25.9% | 批次: 270/1,042 | 损失: 4.4056 | LR: 8.00e-08 | 速度: 0.105s/batch | ETA: 1.4min
2025-11-08 10:45:55,941 - INFO - 进度:  26.9% | 批次: 280/1,042 | 损失: 4.4055 | LR: 8.30e-08 | 速度: 0.091s/batch | ETA: 1.4min
2025-11-08 10:45:56,879 - INFO - 进度:  27.8% | 批次: 290/1,042 | 损失: 4.4054 | LR: 8.60e-08 | 速度: 0.094s/batch | ETA: 1.3min
2025-11-08 10:45:57,909 - INFO - 进度:  28.8% | 批次: 300/1,042 | 损失: 4.4054 | LR: 8.89e-08 | 速度: 0.102s/batch | ETA: 1.3min
2025-11-08 10:45:59,029 - INFO - 进度:  29.8% | 批次: 310/1,042 | 损失: 4.4051 | LR: 9.19e-08 | 速度: 0.112s/batch | ETA: 1.3min
2025-11-08 10:46:00,187 - INFO - 进度:  30.7% | 批次: 320/1,042 | 损失: 4.4052 | LR: 9.49e-08 | 速度: 0.115s/batch | ETA: 1.3min
2025-11-08 10:46:01,291 - INFO - 进度:  31.7% | 批次: 330/1,042 | 损失: 4.4052 | LR: 9.78e-08 | 速度: 0.110s/batch | ETA: 1.3min
2025-11-08 10:46:02,419 - INFO - 进度:  32.6% | 批次: 340/1,042 | 损失: 4.4052 | LR: 1.01e-07 | 速度: 0.112s/batch | ETA: 1.3min
2025-11-08 10:46:03,480 - INFO - 进度:  33.6% | 批次: 350/1,042 | 损失: 4.4048 | LR: 1.04e-07 | 速度: 0.106s/batch | ETA: 1.2min
2025-11-08 10:46:04,522 - INFO - 进度:  34.5% | 批次: 360/1,042 | 损失: 4.4048 | LR: 1.07e-07 | 速度: 0.103s/batch | ETA: 1.2min
2025-11-08 10:46:05,655 - INFO - 进度:  35.5% | 批次: 370/1,042 | 损失: 4.4047 | LR: 1.10e-07 | 速度: 0.113s/batch | ETA: 1.2min
2025-11-08 10:46:06,791 - INFO - 进度:  36.5% | 批次: 380/1,042 | 损失: 4.4047 | LR: 1.13e-07 | 速度: 0.113s/batch | ETA: 1.2min
2025-11-08 10:46:07,967 - INFO - 进度:  37.4% | 批次: 390/1,042 | 损失: 4.4045 | LR: 1.16e-07 | 速度: 0.117s/batch | ETA: 1.2min
2025-11-08 10:46:09,032 - INFO - 进度:  38.4% | 批次: 400/1,042 | 损失: 4.4044 | LR: 1.19e-07 | 速度: 0.106s/batch | ETA: 1.2min
2025-11-08 10:46:09,993 - INFO - 进度:  39.3% | 批次: 410/1,042 | 损失: 4.4041 | LR: 1.22e-07 | 速度: 0.096s/batch | ETA: 1.1min
2025-11-08 10:46:11,039 - INFO - 进度:  40.3% | 批次: 420/1,042 | 损失: 4.4041 | LR: 1.25e-07 | 速度: 0.104s/batch | ETA: 1.1min
2025-11-08 10:46:12,121 - INFO - 进度:  41.3% | 批次: 430/1,042 | 损失: 4.4037 | LR: 1.27e-07 | 速度: 0.108s/batch | ETA: 1.1min
2025-11-08 10:46:13,157 - INFO - 进度:  42.2% | 批次: 440/1,042 | 损失: 4.4035 | LR: 1.30e-07 | 速度: 0.103s/batch | ETA: 1.1min
2025-11-08 10:46:14,153 - INFO - 进度:  43.2% | 批次: 450/1,042 | 损失: 4.4032 | LR: 1.33e-07 | 速度: 0.099s/batch | ETA: 1.1min
2025-11-08 10:46:15,241 - INFO - 进度:  44.1% | 批次: 460/1,042 | 损失: 4.4031 | LR: 1.36e-07 | 速度: 0.108s/batch | ETA: 1.0min
2025-11-08 10:46:16,214 - INFO - 进度:  45.1% | 批次: 470/1,042 | 损失: 4.4028 | LR: 1.39e-07 | 速度: 0.097s/batch | ETA: 1.0min
2025-11-08 10:46:17,233 - INFO - 进度:  46.1% | 批次: 480/1,042 | 损失: 4.4027 | LR: 1.42e-07 | 速度: 0.101s/batch | ETA: 1.0min
2025-11-08 10:46:18,191 - INFO - 进度:  47.0% | 批次: 490/1,042 | 损失: 4.4024 | LR: 1.45e-07 | 速度: 0.095s/batch | ETA: 1.0min
2025-11-08 10:46:19,221 - INFO - 进度:  48.0% | 批次: 500/1,042 | 损失: 4.4020 | LR: 1.48e-07 | 速度: 0.103s/batch | ETA: 1.0min
2025-11-08 10:46:20,176 - INFO - 进度:  48.9% | 批次: 510/1,042 | 损失: 4.4016 | LR: 1.51e-07 | 速度: 0.095s/batch | ETA: 0.9min
2025-11-08 10:46:21,106 - INFO - 进度:  49.9% | 批次: 520/1,042 | 损失: 4.4012 | LR: 1.54e-07 | 速度: 0.093s/batch | ETA: 0.9min
2025-11-08 10:46:22,052 - INFO - 进度:  50.9% | 批次: 530/1,042 | 损失: 4.4008 | LR: 1.57e-07 | 速度: 0.094s/batch | ETA: 0.9min
2025-11-08 10:46:22,971 - INFO - 进度:  51.8% | 批次: 540/1,042 | 损失: 4.4004 | LR: 1.60e-07 | 速度: 0.092s/batch | ETA: 0.9min
2025-11-08 10:46:23,958 - INFO - 进度:  52.8% | 批次: 550/1,042 | 损失: 4.3999 | LR: 1.63e-07 | 速度: 0.098s/batch | ETA: 0.9min
2025-11-08 10:46:24,965 - INFO - 进度:  53.7% | 批次: 560/1,042 | 损失: 4.3994 | LR: 1.66e-07 | 速度: 0.100s/batch | ETA: 0.8min
2025-11-08 10:46:25,964 - INFO - 进度:  54.7% | 批次: 570/1,042 | 损失: 4.3993 | LR: 1.69e-07 | 速度: 0.100s/batch | ETA: 0.8min
2025-11-08 10:46:26,961 - INFO - 进度:  55.7% | 批次: 580/1,042 | 损失: 4.3991 | LR: 1.72e-07 | 速度: 0.099s/batch | ETA: 0.8min
2025-11-08 10:46:27,927 - INFO - 进度:  56.6% | 批次: 590/1,042 | 损失: 4.3988 | LR: 1.75e-07 | 速度: 0.096s/batch | ETA: 0.8min
2025-11-08 10:46:28,905 - INFO - 进度:  57.6% | 批次: 600/1,042 | 损失: 4.3985 | LR: 1.78e-07 | 速度: 0.097s/batch | ETA: 0.8min
2025-11-08 10:46:29,934 - INFO - 进度:  58.5% | 批次: 610/1,042 | 损失: 4.3981 | LR: 1.81e-07 | 速度: 0.103s/batch | ETA: 0.8min
2025-11-08 10:46:30,923 - INFO - 进度:  59.5% | 批次: 620/1,042 | 损失: 4.3978 | LR: 1.84e-07 | 速度: 0.099s/batch | ETA: 0.7min
2025-11-08 10:46:31,969 - INFO - 进度:  60.5% | 批次: 630/1,042 | 损失: 4.3976 | LR: 1.87e-07 | 速度: 0.104s/batch | ETA: 0.7min
2025-11-08 10:46:32,909 - INFO - 进度:  61.4% | 批次: 640/1,042 | 损失: 4.3972 | LR: 1.90e-07 | 速度: 0.093s/batch | ETA: 0.7min
2025-11-08 10:46:33,831 - INFO - 进度:  62.4% | 批次: 650/1,042 | 损失: 4.3966 | LR: 1.93e-07 | 速度: 0.092s/batch | ETA: 0.7min
2025-11-08 10:46:34,784 - INFO - 进度:  63.3% | 批次: 660/1,042 | 损失: 4.3962 | LR: 1.96e-07 | 速度: 0.095s/batch | ETA: 0.7min
2025-11-08 10:46:35,743 - INFO - 进度:  64.3% | 批次: 670/1,042 | 损失: 4.3959 | LR: 1.99e-07 | 速度: 0.095s/batch | ETA: 0.6min
2025-11-08 10:46:36,769 - INFO - 进度:  65.3% | 批次: 680/1,042 | 损失: 4.3956 | LR: 2.02e-07 | 速度: 0.102s/batch | ETA: 0.6min
2025-11-08 10:46:37,651 - INFO - 进度:  66.2% | 批次: 690/1,042 | 损失: 4.3953 | LR: 2.05e-07 | 速度: 0.088s/batch | ETA: 0.6min
2025-11-08 10:46:38,552 - INFO - 进度:  67.2% | 批次: 700/1,042 | 损失: 4.3950 | LR: 2.08e-07 | 速度: 0.089s/batch | ETA: 0.6min
2025-11-08 10:46:39,519 - INFO - 进度:  68.1% | 批次: 710/1,042 | 损失: 4.3946 | LR: 2.10e-07 | 速度: 0.096s/batch | ETA: 0.6min
2025-11-08 10:46:40,534 - INFO - 进度:  69.1% | 批次: 720/1,042 | 损失: 4.3942 | LR: 2.13e-07 | 速度: 0.101s/batch | ETA: 0.6min
2025-11-08 10:46:41,513 - INFO - 进度:  70.1% | 批次: 730/1,042 | 损失: 4.3939 | LR: 2.16e-07 | 速度: 0.097s/batch | ETA: 0.5min
2025-11-08 10:46:42,682 - INFO - 进度:  71.0% | 批次: 740/1,042 | 损失: 4.3935 | LR: 2.19e-07 | 速度: 0.117s/batch | ETA: 0.5min
2025-11-08 10:46:44,173 - INFO - 进度:  72.0% | 批次: 750/1,042 | 损失: 4.3932 | LR: 2.22e-07 | 速度: 0.149s/batch | ETA: 0.5min
2025-11-08 10:46:45,481 - INFO - 进度:  72.9% | 批次: 760/1,042 | 损失: 4.3929 | LR: 2.25e-07 | 速度: 0.130s/batch | ETA: 0.5min
2025-11-08 10:46:46,831 - INFO - 进度:  73.9% | 批次: 770/1,042 | 损失: 4.3925 | LR: 2.28e-07 | 速度: 0.134s/batch | ETA: 0.5min
2025-11-08 10:46:47,938 - INFO - 进度:  74.9% | 批次: 780/1,042 | 损失: 4.3920 | LR: 2.31e-07 | 速度: 0.110s/batch | ETA: 0.5min
2025-11-08 10:46:49,056 - INFO - 进度:  75.8% | 批次: 790/1,042 | 损失: 4.3916 | LR: 2.34e-07 | 速度: 0.111s/batch | ETA: 0.4min
2025-11-08 10:46:50,282 - INFO - 进度:  76.8% | 批次: 800/1,042 | 损失: 4.3912 | LR: 2.37e-07 | 速度: 0.122s/batch | ETA: 0.4min
2025-11-08 10:46:51,553 - INFO - 进度:  77.7% | 批次: 810/1,042 | 损失: 4.3907 | LR: 2.40e-07 | 速度: 0.127s/batch | ETA: 0.4min
2025-11-08 10:46:52,691 - INFO - 进度:  78.7% | 批次: 820/1,042 | 损失: 4.3903 | LR: 2.43e-07 | 速度: 0.114s/batch | ETA: 0.4min
2025-11-08 10:46:53,802 - INFO - 进度:  79.7% | 批次: 830/1,042 | 损失: 4.3899 | LR: 2.46e-07 | 速度: 0.110s/batch | ETA: 0.4min
2025-11-08 10:46:54,890 - INFO - 进度:  80.6% | 批次: 840/1,042 | 损失: 4.3895 | LR: 2.49e-07 | 速度: 0.108s/batch | ETA: 0.4min
2025-11-08 10:46:55,940 - INFO - 进度:  81.6% | 批次: 850/1,042 | 损失: 4.3892 | LR: 2.52e-07 | 速度: 0.104s/batch | ETA: 0.3min
2025-11-08 10:46:57,165 - INFO - 进度:  82.5% | 批次: 860/1,042 | 损失: 4.3888 | LR: 2.55e-07 | 速度: 0.122s/batch | ETA: 0.3min
2025-11-08 10:46:58,400 - INFO - 进度:  83.5% | 批次: 870/1,042 | 损失: 4.3885 | LR: 2.58e-07 | 速度: 0.123s/batch | ETA: 0.3min
2025-11-08 10:46:59,606 - INFO - 进度:  84.5% | 批次: 880/1,042 | 损失: 4.3880 | LR: 2.61e-07 | 速度: 0.120s/batch | ETA: 0.3min
2025-11-08 10:47:00,590 - INFO - 进度:  85.4% | 批次: 890/1,042 | 损失: 4.3876 | LR: 2.64e-07 | 速度: 0.098s/batch | ETA: 0.3min
2025-11-08 10:47:01,536 - INFO - 进度:  86.4% | 批次: 900/1,042 | 损失: 4.3872 | LR: 2.67e-07 | 速度: 0.094s/batch | ETA: 0.3min
2025-11-08 10:47:02,517 - INFO - 进度:  87.3% | 批次: 910/1,042 | 损失: 4.3866 | LR: 2.70e-07 | 速度: 0.098s/batch | ETA: 0.2min
2025-11-08 10:47:03,412 - INFO - 进度:  88.3% | 批次: 920/1,042 | 损失: 4.3861 | LR: 2.73e-07 | 速度: 0.089s/batch | ETA: 0.2min
2025-11-08 10:47:04,367 - INFO - 进度:  89.3% | 批次: 930/1,042 | 损失: 4.3857 | LR: 2.76e-07 | 速度: 0.095s/batch | ETA: 0.2min
2025-11-08 10:47:05,305 - INFO - 进度:  90.2% | 批次: 940/1,042 | 损失: 4.3852 | LR: 2.79e-07 | 速度: 0.093s/batch | ETA: 0.2min
2025-11-08 10:47:06,330 - INFO - 进度:  91.2% | 批次: 950/1,042 | 损失: 4.3847 | LR: 2.82e-07 | 速度: 0.102s/batch | ETA: 0.2min
2025-11-08 10:47:07,399 - INFO - 进度:  92.1% | 批次: 960/1,042 | 损失: 4.3842 | LR: 2.85e-07 | 速度: 0.107s/batch | ETA: 0.1min
2025-11-08 10:47:08,394 - INFO - 进度:  93.1% | 批次: 970/1,042 | 损失: 4.3836 | LR: 2.88e-07 | 速度: 0.099s/batch | ETA: 0.1min
2025-11-08 10:47:09,365 - INFO - 进度:  94.0% | 批次: 980/1,042 | 损失: 4.3831 | LR: 2.91e-07 | 速度: 0.097s/batch | ETA: 0.1min
2025-11-08 10:47:10,367 - INFO - 进度:  95.0% | 批次: 990/1,042 | 损失: 4.3827 | LR: 2.93e-07 | 速度: 0.100s/batch | ETA: 0.1min
2025-11-08 10:47:11,321 - INFO - 进度:  96.0% | 批次: 1,000/1,042 | 损失: 4.3821 | LR: 2.96e-07 | 速度: 0.095s/batch | ETA: 0.1min
2025-11-08 10:47:12,340 - INFO - 进度:  96.9% | 批次: 1,010/1,042 | 损失: 4.3817 | LR: 2.99e-07 | 速度: 0.101s/batch | ETA: 0.1min
2025-11-08 10:47:13,334 - INFO - 进度:  97.9% | 批次: 1,020/1,042 | 损失: 4.3812 | LR: 3.02e-07 | 速度: 0.099s/batch | ETA: 0.0min
2025-11-08 10:47:14,284 - INFO - 进度:  98.8% | 批次: 1,030/1,042 | 损失: 4.3806 | LR: 3.05e-07 | 速度: 0.095s/batch | ETA: 0.0min
2025-11-08 10:47:15,249 - INFO - 进度:  99.8% | 批次: 1,040/1,042 | 损失: 4.3801 | LR: 3.08e-07 | 速度: 0.096s/batch | ETA: 0.0min
2025-11-08 10:47:15,440 - INFO - 进度: 100.0% | 批次: 1,042/1,042 | 损失: 4.3801 | LR: 3.09e-07 | 速度: 0.094s/batch | ETA: 0.0min
2025-11-08 10:47:15,441 - INFO - Epoch 1 完成! | 平均损失: 4.3801 | 耗时: 1.8分钟 | 处理样本: 16,666 | 总批次: 1,042
2025-11-08 10:47:15,443 - INFO - 开始验证...
2025-11-08 10:47:18,335 - INFO - 验证完成! | 损失: 4.3213 | 困惑度: 75.29 | 耗时: 2.9秒 | 样本数: 1,936
2025-11-08 10:47:18,336 - INFO - Epoch 1 统计: 训练损失=4.3801, 验证损失=4.32134341405443, 耗时=1.9分钟, 累计耗时=1.9分钟
2025-11-08 10:47:19,735 - INFO - 结果已保存至 results/ablate_multihead/
2025-11-08 10:47:19,735 - INFO - 
============================================================
2025-11-08 10:47:19,735 - INFO - Epoch 2/5
2025-11-08 10:47:19,735 - INFO - ============================================================
2025-11-08 10:47:19,736 - INFO - Epoch 2/5: 开始训练 (1,042 批次)
2025-11-08 10:47:20,679 - INFO - 进度:   1.0% | 批次: 10/1,042 | 损失: 4.3352 | LR: 3.12e-07 | 速度: 0.094s/batch | ETA: 1.6min
2025-11-08 10:47:21,638 - INFO - 进度:   1.9% | 批次: 20/1,042 | 损失: 4.3295 | LR: 3.15e-07 | 速度: 0.095s/batch | ETA: 1.6min
2025-11-08 10:47:22,632 - INFO - 进度:   2.9% | 批次: 30/1,042 | 损失: 4.3270 | LR: 3.18e-07 | 速度: 0.099s/batch | ETA: 1.6min
2025-11-08 10:47:23,658 - INFO - 进度:   3.8% | 批次: 40/1,042 | 损失: 4.3256 | LR: 3.21e-07 | 速度: 0.102s/batch | ETA: 1.6min
2025-11-08 10:47:24,609 - INFO - 进度:   4.8% | 批次: 50/1,042 | 损失: 4.3232 | LR: 3.24e-07 | 速度: 0.095s/batch | ETA: 1.6min
2025-11-08 10:47:25,545 - INFO - 进度:   5.8% | 批次: 60/1,042 | 损失: 4.3236 | LR: 3.27e-07 | 速度: 0.093s/batch | ETA: 1.6min
2025-11-08 10:47:26,482 - INFO - 进度:   6.7% | 批次: 70/1,042 | 损失: 4.3222 | LR: 3.30e-07 | 速度: 0.093s/batch | ETA: 1.6min
2025-11-08 10:47:27,488 - INFO - 进度:   7.7% | 批次: 80/1,042 | 损失: 4.3215 | LR: 3.33e-07 | 速度: 0.100s/batch | ETA: 1.6min
2025-11-08 10:47:28,406 - INFO - 进度:   8.6% | 批次: 90/1,042 | 损失: 4.3206 | LR: 3.36e-07 | 速度: 0.091s/batch | ETA: 1.5min
2025-11-08 10:47:29,427 - INFO - 进度:   9.6% | 批次: 100/1,042 | 损失: 4.3200 | LR: 3.39e-07 | 速度: 0.102s/batch | ETA: 1.5min
2025-11-08 10:47:30,516 - INFO - 进度:  10.6% | 批次: 110/1,042 | 损失: 4.3192 | LR: 3.42e-07 | 速度: 0.109s/batch | ETA: 1.5min
2025-11-08 10:47:32,986 - INFO - 进度:  11.5% | 批次: 120/1,042 | 损失: 4.3185 | LR: 3.44e-07 | 速度: 0.246s/batch | ETA: 1.7min
2025-11-08 10:47:34,214 - INFO - 进度:  12.5% | 批次: 130/1,042 | 损失: 4.3179 | LR: 3.47e-07 | 速度: 0.122s/batch | ETA: 1.7min
2025-11-08 10:47:35,336 - INFO - 进度:  13.4% | 批次: 140/1,042 | 损失: 4.3169 | LR: 3.50e-07 | 速度: 0.112s/batch | ETA: 1.7min
2025-11-08 10:47:36,477 - INFO - 进度:  14.4% | 批次: 150/1,042 | 损失: 4.3161 | LR: 3.53e-07 | 速度: 0.114s/batch | ETA: 1.7min
2025-11-08 10:47:37,599 - INFO - 进度:  15.4% | 批次: 160/1,042 | 损失: 4.3152 | LR: 3.56e-07 | 速度: 0.112s/batch | ETA: 1.6min
2025-11-08 10:47:38,647 - INFO - 进度:  16.3% | 批次: 170/1,042 | 损失: 4.3146 | LR: 3.59e-07 | 速度: 0.105s/batch | ETA: 1.6min
2025-11-08 10:47:39,662 - INFO - 进度:  17.3% | 批次: 180/1,042 | 损失: 4.3139 | LR: 3.62e-07 | 速度: 0.101s/batch | ETA: 1.6min
2025-11-08 10:47:40,734 - INFO - 进度:  18.2% | 批次: 190/1,042 | 损失: 4.3127 | LR: 3.65e-07 | 速度: 0.107s/batch | ETA: 1.6min
2025-11-08 10:47:41,779 - INFO - 进度:  19.2% | 批次: 200/1,042 | 损失: 4.3113 | LR: 3.68e-07 | 速度: 0.104s/batch | ETA: 1.5min
2025-11-08 10:47:42,752 - INFO - 进度:  20.2% | 批次: 210/1,042 | 损失: 4.3101 | LR: 3.71e-07 | 速度: 0.097s/batch | ETA: 1.5min
2025-11-08 10:47:43,746 - INFO - 进度:  21.1% | 批次: 220/1,042 | 损失: 4.3087 | LR: 3.74e-07 | 速度: 0.099s/batch | ETA: 1.5min
2025-11-08 10:47:44,772 - INFO - 进度:  22.1% | 批次: 230/1,042 | 损失: 4.3080 | LR: 3.77e-07 | 速度: 0.102s/batch | ETA: 1.5min
2025-11-08 10:47:45,773 - INFO - 进度:  23.0% | 批次: 240/1,042 | 损失: 4.3072 | LR: 3.80e-07 | 速度: 0.099s/batch | ETA: 1.5min
2025-11-08 10:47:46,810 - INFO - 进度:  24.0% | 批次: 250/1,042 | 损失: 4.3064 | LR: 3.83e-07 | 速度: 0.103s/batch | ETA: 1.4min
2025-11-08 10:47:47,942 - INFO - 进度:  25.0% | 批次: 260/1,042 | 损失: 4.3056 | LR: 3.86e-07 | 速度: 0.113s/batch | ETA: 1.4min
2025-11-08 10:47:49,067 - INFO - 进度:  25.9% | 批次: 270/1,042 | 损失: 4.3046 | LR: 3.89e-07 | 速度: 0.112s/batch | ETA: 1.4min
2025-11-08 10:47:50,175 - INFO - 进度:  26.9% | 批次: 280/1,042 | 损失: 4.3037 | LR: 3.92e-07 | 速度: 0.110s/batch | ETA: 1.4min
2025-11-08 10:47:51,197 - INFO - 进度:  27.8% | 批次: 290/1,042 | 损失: 4.3027 | LR: 3.95e-07 | 速度: 0.102s/batch | ETA: 1.4min
2025-11-08 10:47:52,227 - INFO - 进度:  28.8% | 批次: 300/1,042 | 损失: 4.3016 | LR: 3.98e-07 | 速度: 0.102s/batch | ETA: 1.3min
2025-11-08 10:47:53,310 - INFO - 进度:  29.8% | 批次: 310/1,042 | 损失: 4.3006 | LR: 4.01e-07 | 速度: 0.108s/batch | ETA: 1.3min
2025-11-08 10:47:54,449 - INFO - 进度:  30.7% | 批次: 320/1,042 | 损失: 4.2996 | LR: 4.04e-07 | 速度: 0.113s/batch | ETA: 1.3min
2025-11-08 10:47:55,630 - INFO - 进度:  31.7% | 批次: 330/1,042 | 损失: 4.2986 | LR: 4.07e-07 | 速度: 0.117s/batch | ETA: 1.3min
2025-11-08 10:47:56,689 - INFO - 进度:  32.6% | 批次: 340/1,042 | 损失: 4.2977 | LR: 4.10e-07 | 速度: 0.105s/batch | ETA: 1.3min
2025-11-08 10:47:57,696 - INFO - 进度:  33.6% | 批次: 350/1,042 | 损失: 4.2967 | LR: 4.13e-07 | 速度: 0.100s/batch | ETA: 1.3min
2025-11-08 10:47:58,705 - INFO - 进度:  34.5% | 批次: 360/1,042 | 损失: 4.2958 | LR: 4.16e-07 | 速度: 0.100s/batch | ETA: 1.2min
2025-11-08 10:47:59,835 - INFO - 进度:  35.5% | 批次: 370/1,042 | 损失: 4.2949 | LR: 4.19e-07 | 速度: 0.113s/batch | ETA: 1.2min
2025-11-08 10:48:00,866 - INFO - 进度:  36.5% | 批次: 380/1,042 | 损失: 4.2942 | LR: 4.22e-07 | 速度: 0.102s/batch | ETA: 1.2min
2025-11-08 10:48:01,930 - INFO - 进度:  37.4% | 批次: 390/1,042 | 损失: 4.2933 | LR: 4.25e-07 | 速度: 0.106s/batch | ETA: 1.2min
2025-11-08 10:48:02,893 - INFO - 进度:  38.4% | 批次: 400/1,042 | 损失: 4.2925 | LR: 4.28e-07 | 速度: 0.096s/batch | ETA: 1.2min
